filename	trueclass	predclass_prob	numfeatures
d_adam_smith_19990209_1060003674.txt	1	0.8750911	1024
d_adam_smith_19990210_1060004103.txt	1	0.5467585	1024
d_adam_smith_19990224_1060005914.txt	1	0.006186727	1024
d_adam_smith_19990303_1060007820.txt	1	0.013115166	1024
d_adam_smith_19990316_1060011988.txt	1	0.59522855	1024
d_adam_smith_19990324_1060016210.txt	1	0.92552483	1024
d_adam_smith_19990324_1060016212.txt	1	0.27784976	1024
d_adam_smith_19990324_1060016214.txt	1	0.19009754	1024
d_adam_smith_19990324_1060016215.txt	1	0.47191998	1024
d_adam_smith_19990324_1060016219.txt	1	0.62036467	1024
d_adam_smith_19990415_1060021408.txt	1	0.9921812	1024
d_adam_smith_19990415_1060021414.txt	1	0.9216244	1024
d_adam_smith_19990421_1060022633.txt	1	0.7258128	1024
d_adam_smith_19990429_1060025443.txt	1	0.9963632	1024
d_adam_smith_19990505_1060027375.txt	1	0.9732892	1024
d_adam_smith_19990519_1060033868.txt	1	0.8283414	1024
d_adam_smith_19990519_1060033870.txt	1	0.92019755	1024
d_adam_smith_19990519_1060033874.txt	1	0.4519583	1024
d_adam_smith_19990519_1060033876.txt	1	0.9559263	1024
d_adam_smith_19990519_1060033878.txt	1	0.54284865	1024
d_adam_smith_19990609_1060042689.txt	1	0.9644885	1024
d_adam_smith_19990616_1060046287.txt	1	0.9323388	1024
d_adam_smith_19990623_1060051068.txt	1	0.943439	1024
d_adam_smith_19990713_1060057644.txt	1	0.99229044	1024
d_adam_smith_19990722_1060064408.txt	1	0.9512509	1024
d_adam_smith_19990805_1060074974.txt	1	0.8893749	1024
d_adam_smith_19990914_1060078807.txt	1	0.8492075	1024
d_adam_smith_19990923_1060083665.txt	1	0.83558065	1024
d_adam_smith_20000301_1060117989.txt	1	0.9269256	1024
d_adam_smith_20000315_1060121814.txt	1	0.96402633	1024
d_adam_smith_20000405_1060128760.txt	1	0.99282444	1024
d_adam_smith_20000504_1060137074.txt	1	0.9002018	1024
d_adam_smith_20000517_1060142159.txt	1	0.36668345	1024
d_adam_smith_20000524_1060145833.txt	1	0.9958263	1024
d_adam_smith_20000927_1060189367.txt	1	0.63570213	1024
d_adam_smith_20000928_1060189604.txt	1	0.9200111	1024
d_adam_smith_20001003_1060191527.txt	1	0.9829443	1024
d_alan_mollohan_19990202_1060002159.txt	1	0.93768376	1024
d_alan_mollohan_19990504_1060026476.txt	1	0.950077	1024
d_alan_mollohan_19990804_1060073913.txt	1	0.46011275	1024
d_alan_mollohan_19990804_1060073960.txt	1	0.5196621	1024
d_alan_mollohan_19990908_1060076400.txt	1	0.98300695	1024
d_alan_mollohan_19990908_1060076437.txt	1	0.9981521	1024
d_alan_mollohan_19990908_1060076441.txt	1	0.73302406	1024
d_alan_mollohan_19990908_1060076498.txt	1	0.88342184	1024
d_alan_mollohan_19990908_1060076583.txt	1	0.9973036	1024
d_alan_mollohan_19990908_1060076642.txt	1	0.99382967	1024
d_alan_mollohan_19990909_1060077357.txt	1	0.9365566	1024
d_alan_mollohan_19990909_1060077361.txt	1	0.7910875	1024
d_alan_mollohan_19990909_1060077402.txt	1	0.15470968	1024
d_alan_mollohan_19990909_1060077405.txt	1	0.61789215	1024
d_alan_mollohan_19990909_1060077542.txt	1	0.4691582	1024
d_alan_mollohan_19991004_1060088383.txt	1	0.99065334	1024
d_alan_mollohan_19991014_1060093823.txt	1	0.9081107	1024
d_alan_mollohan_19991014_1060093851.txt	1	0.8028599	1024
d_alan_mollohan_19991014_1060093862.txt	1	0.7158218	1024
d_alan_mollohan_20000615_1060154926.txt	1	0.5323121	1024
d_alan_mollohan_20000619_1060155865.txt	1	0.906585	1024
d_alan_mollohan_20000619_1060155884.txt	1	0.5366498	1024
d_alan_mollohan_20000619_1060155932.txt	1	0.03847734	1024
d_alan_mollohan_20000620_1060156835.txt	1	0.9919653	1024
d_alan_mollohan_20000620_1060156836.txt	1	0.30651644	1024
d_alan_mollohan_20000620_1060156865.txt	1	0.9511357	1024
d_alan_mollohan_20000620_1060156920.txt	1	0.9733123	1024
d_alan_mollohan_20000620_1060157091.txt	1	0.3411363	1024
d_alan_mollohan_20000620_1060157161.txt	1	0.12790678	1024
d_alan_mollohan_20000621_1060158030.txt	1	0.8222847	1024
d_alan_mollohan_20000621_1060158111.txt	1	0.766699	1024
d_alan_mollohan_20000621_1060158139.txt	1	0.54233366	1024
d_alan_mollohan_20000621_1060158151.txt	1	0.86506855	1024
d_alan_mollohan_20000621_1060158155.txt	1	0.58845097	1024
d_alan_mollohan_20000621_1060158165.txt	1	0.98953664	1024
d_alan_mollohan_20000621_1060158258.txt	1	0.9629729	1024
d_alan_mollohan_20000621_1060158297.txt	1	0.4696926	1024
d_alan_mollohan_20000621_1060158436.txt	1	0.26470113	1024
d_alan_mollohan_20000621_1060158543.txt	1	0.9957425	1024
d_alan_mollohan_20001018_1060198286.txt	1	0.8146208	1024
d_alan_mollohan_20001018_1060198431.txt	1	0.9913453	1024
d_alan_mollohan_20001019_1060199041.txt	1	0.9633908	1024
d_albert_wynn_19990203_1060002409.txt	1	0.89453727	1024
d_albert_wynn_19990224_1060005719.txt	1	0.9586655	1024
d_albert_wynn_19990304_1060008329.txt	1	0.9970697	1024
