filename	trueclass	predclass_prob	numfeatures
d_abraham_kazen_19810331_970016551.txt	1	0.62645584	1024
d_abraham_kazen_19810604_970037379.txt	1	0.20377555	1024
d_abraham_kazen_19810609_970038355.txt	1	0.58677334	1024
d_abraham_kazen_19810618_970043249.txt	1	0.8885749	1024
d_abraham_kazen_19810618_970043263.txt	1	0.53972584	1024
d_abraham_kazen_19810618_970043267.txt	1	0.29524174	1024
d_abraham_kazen_19810618_970043271.txt	1	0.5636636	1024
d_abraham_kazen_19810618_970043273.txt	1	0.4863366	1024
d_abraham_kazen_19810618_970043290.txt	1	0.54454124	1024
d_abraham_kazen_19810618_970043359.txt	1	0.36461678	1024
d_abraham_kazen_19810714_970054567.txt	1	0.5235843	1024
d_abraham_kazen_19810728_970067763.txt	1	0.90107226	1024
d_abraham_kazen_19810915_970077540.txt	1	0.38714564	1024
d_abraham_kazen_19810916_970077926.txt	1	0.39353138	1024
d_abraham_kazen_19810916_970077930.txt	1	0.5614307	1024
d_abraham_kazen_19810916_970077964.txt	1	0.52813816	1024
d_abraham_kazen_19811005_970089847.txt	1	0.5982204	1024
d_abraham_kazen_19811022_970098696.txt	1	0.649194	1024
d_abraham_kazen_19811028_970102360.txt	1	0.53924346	1024
d_abraham_kazen_19811028_970102399.txt	1	0.47046286	1024
d_abraham_kazen_19811029_970103494.txt	1	0.5432248	1024
d_abraham_kazen_19811117_970112439.txt	1	0.6378943	1024
d_abraham_kazen_19811216_970131741.txt	1	0.5437246	1024
d_abraham_kazen_19820429_970159046.txt	1	0.7693612	1024
d_abraham_kazen_19820429_970159087.txt	1	0.6503189	1024
d_abraham_kazen_19820429_970159120.txt	1	0.60405385	1024
d_abraham_kazen_19820505_970161694.txt	1	0.6385554	1024
d_abraham_kazen_19820506_970162100.txt	1	0.46758044	1024
d_abraham_kazen_19820506_970162104.txt	1	0.50507313	1024
d_abraham_kazen_19820506_970162131.txt	1	0.92478395	1024
d_abraham_kazen_19820506_970162195.txt	1	0.7113727	1024
d_abraham_kazen_19820506_970162200.txt	1	0.39974755	1024
d_abraham_kazen_19820506_970162234.txt	1	0.53666186	1024
d_abraham_kazen_19820512_970165008.txt	1	0.65528566	1024
d_abraham_kazen_19820524_970175107.txt	1	0.63921356	1024
d_abraham_kazen_19820608_970183768.txt	1	0.87114626	1024
d_abraham_kazen_19820616_970187904.txt	1	0.5175154	1024
d_abraham_kazen_19820623_970193354.txt	1	0.606177	1024
d_abraham_kazen_19820728_970209838.txt	1	0.5594787	1024
d_abraham_kazen_19820728_970209844.txt	1	0.36338446	1024
d_abraham_kazen_19820810_970219641.txt	1	0.5280091	1024
d_abraham_kazen_19820816_970225976.txt	1	0.4573923	1024
d_abraham_kazen_19820908_970231377.txt	1	0.46353543	1024
d_abraham_kazen_19820929_970244345.txt	1	0.42700207	1024
d_abraham_kazen_19820929_970245169.txt	1	0.97206646	1024
d_abraham_kazen_19821001_970250588.txt	1	0.13129432	1024
d_abraham_kazen_19821001_970250590.txt	1	0.059809715	1024
d_abraham_kazen_19821130_970253668.txt	1	0.57399535	1024
d_abraham_kazen_19821206_970256847.txt	1	0.34004804	1024
d_abraham_kazen_19821208_970259488.txt	1	0.31785342	1024
d_abraham_kazen_19821209_970260600.txt	1	0.70368314	1024
d_abraham_kazen_19821209_970260604.txt	1	0.50911826	1024
d_abraham_kazen_19821209_970260612.txt	1	0.5550964	1024
d_abraham_kazen_19821209_970260614.txt	1	0.533612	1024
d_abraham_kazen_19821213_970262780.txt	1	0.9117209	1024
d_abraham_kazen_19821213_970263176.txt	1	0.6127742	1024
d_abraham_kazen_19821213_970263184.txt	1	0.6972859	1024
d_abraham_kazen_19821213_970263195.txt	1	0.8455434	1024
d_abraham_kazen_19821214_970263912.txt	1	0.49737468	1024
d_abraham_kazen_19821216_970269440.txt	1	0.44346905	1024
d_abraham_kazen_19821217_970274701.txt	1	0.1806951	1024
d_abraham_kazen_19821217_970274703.txt	1	0.36653396	1024
d_abraham_kazen_19821217_970274705.txt	1	0.54489505	1024
d_abraham_kazen_19821217_970274715.txt	1	0.3135612	1024
d_abraham_kazen_19821217_970274940.txt	1	0.40578416	1024
d_abraham_kazen_19821217_970274954.txt	1	0.49297	1024
d_abraham_kazen_19821218_970275523.txt	1	0.9086531	1024
d_abraham_kazen_19821218_970275600.txt	1	0.6595733	1024
d_abraham_kazen_19821218_970275721.txt	1	0.49291438	1024
d_adam_benjamin_19810507_970026328.txt	1	0.9670721	1024
d_adam_benjamin_19810717_970058903.txt	1	0.87531376	1024
d_adam_benjamin_19810910_970075023.txt	1	0.9675634	1024
d_adam_benjamin_19810910_970075025.txt	1	0.954149	1024
d_adam_benjamin_19810910_970075033.txt	1	0.7109866	1024
d_adam_benjamin_19810910_970075036.txt	1	0.98145986	1024
d_adam_benjamin_19810910_970075069.txt	1	0.7207012	1024
d_adam_benjamin_19810910_970075071.txt	1	0.62570643	1024
d_adam_benjamin_19810910_970075104.txt	1	0.6660881	1024
d_adam_benjamin_19810910_970075169.txt	1	0.46631482	1024
d_adam_benjamin_19810910_970075206.txt	1	0.67535263	1024
d_adam_benjamin_19810910_970075225.txt	1	0.65010065	1024
d_adam_benjamin_19810910_970075271.txt	1	0.6468744	1024
d_adam_benjamin_19810910_970075273.txt	1	0.44264752	1024
d_adam_benjamin_19810910_970075322.txt	1	0.74158686	1024
d_adam_benjamin_19810910_970075529.txt	1	0.9517831	1024
d_adam_benjamin_19810922_970082290.txt	1	0.84972215	1024
d_adam_benjamin_19811104_970106028.txt	1	0.95665574	1024
d_adam_benjamin_19811113_970110773.txt	1	0.9685346	1024
d_adam_benjamin_19811113_970110822.txt	1	0.94213	1024
