filename	trueclass	predclass_prob	numfeatures
d_adam_schiff_20110112_1120001451.txt	1	0.65993935	1024
d_adam_schiff_20110215_1120007978.txt	1	0.9313542	1024
d_adam_schiff_20110215_1120007995.txt	1	0.82176965	1024
d_adam_schiff_20110215_1120007996.txt	1	0.95434093	1024
d_adam_schiff_20110215_1120008006.txt	1	0.82176965	1024
d_adam_schiff_20110215_1120008007.txt	1	0.8665661	1024
d_adam_schiff_20110215_1120008021.txt	1	0.9182448	1024
d_adam_schiff_20110215_1120008022.txt	1	0.95235115	1024
d_adam_schiff_20110215_1120008027.txt	1	0.67716175	1024
d_adam_schiff_20110331_1120019789.txt	1	0.8715936	1024
d_adam_schiff_20110331_1120019793.txt	1	0.77654046	1024
d_adam_schiff_20110331_1120019807.txt	1	0.9683363	1024
d_adam_schiff_20110331_1120019811.txt	1	0.9884626	1024
d_adam_schiff_20110513_1120028862.txt	1	0.8970628	1024
d_adam_schiff_20110623_1120038647.txt	1	0.97743136	1024
d_adam_schiff_20110623_1120038649.txt	1	0.96858245	1024
d_adam_schiff_20110711_1120042693.txt	1	0.4929839	1024
d_adam_schiff_20110713_1120043704.txt	1	0.82176965	1024
d_adam_schiff_20110713_1120043739.txt	1	0.5315069	1024
d_adam_schiff_20110713_1120043748.txt	1	0.6967461	1024
d_adam_schiff_20110728_1120050089.txt	1	0.9682511	1024
d_adam_schiff_20111202_1120074650.txt	1	0.80214846	1024
d_adam_schiff_20111213_1120077724.txt	1	0.79541206	1024
d_adam_schiff_20111213_1120077896.txt	1	0.80118346	1024
d_adam_schiff_20111216_1120079375.txt	1	0.95013136	1024
d_adam_schiff_20111216_1120079378.txt	1	0.80442435	1024
d_adam_schiff_20120327_1120095107.txt	1	0.756095	1024
d_adam_schiff_20120426_1120100875.txt	1	0.81060296	1024
d_adam_schiff_20120426_1120100945.txt	1	0.68641025	1024
d_adam_schiff_20120509_1120103290.txt	1	0.82176965	1024
d_adam_schiff_20120509_1120103291.txt	1	0.96169734	1024
d_adam_schiff_20120509_1120103305.txt	1	0.67450756	1024
d_adam_schiff_20120509_1120103311.txt	1	0.67495716	1024
d_adam_schiff_20120509_1120103317.txt	1	0.5242245	1024
d_adam_schiff_20120509_1120103520.txt	1	0.82176965	1024
d_adam_schiff_20120509_1120103521.txt	1	0.87631255	1024
d_adam_schiff_20120628_1120118686.txt	1	0.9453472	1024
d_adam_schiff_20120628_1120118792.txt	1	0.7026639	1024
d_adam_schiff_20120711_1120120822.txt	1	0.87280196	1024
d_adam_schiff_20120912_1120129470.txt	1	0.8745122	1024
d_adam_schiff_20121218_1120141099.txt	1	0.8858581	1024
d_adam_schiff_20130103_1120145694.txt	1	0.8157582	1024
d_adam_smith_20110317_1120017382.txt	1	0.91693217	1024
d_adam_smith_20110523_1120030073.txt	1	0.56789774	1024
d_adam_smith_20110525_1120030834.txt	1	0.51825875	1024
d_adam_smith_20110525_1120030858.txt	1	0.22412357	1024
d_adam_smith_20110525_1120030859.txt	1	0.32125297	1024
d_adam_smith_20110525_1120030863.txt	1	0.66893554	1024
d_adam_smith_20110525_1120030868.txt	1	0.6452037	1024
d_adam_smith_20110525_1120030871.txt	1	0.72454727	1024
d_adam_smith_20110525_1120030894.txt	1	0.33603597	1024
d_adam_smith_20110525_1120030938.txt	1	0.9772602	1024
d_adam_smith_20110525_1120030974.txt	1	0.9526875	1024
d_adam_smith_20110525_1120030998.txt	1	0.7627009	1024
d_adam_smith_20110525_1120031036.txt	1	0.384934	1024
d_adam_smith_20110525_1120031037.txt	1	0.43097076	1024
d_adam_smith_20110525_1120031059.txt	1	0.84499454	1024
d_adam_smith_20110526_1120031443.txt	1	0.8750396	1024
d_adam_smith_20110526_1120031470.txt	1	0.26154125	1024
d_adam_smith_20110526_1120031498.txt	1	0.4915915	1024
d_adam_smith_20110526_1120031514.txt	1	0.17758456	1024
d_adam_smith_20110526_1120031538.txt	1	0.7830354	1024
d_adam_smith_20110526_1120031635.txt	1	0.66009384	1024
d_adam_smith_20110624_1120039346.txt	1	0.44485626	1024
d_adam_smith_20110624_1120039369.txt	1	0.79571104	1024
d_adam_smith_20110624_1120039437.txt	1	0.5775026	1024
d_adam_smith_20111006_1120059885.txt	1	0.9103285	1024
d_adam_smith_20111012_1120061404.txt	1	0.8355526	1024
d_adam_smith_20111117_1120069939.txt	1	0.5285135	1024
d_adam_smith_20111130_1120072503.txt	1	0.8158358	1024
d_adam_smith_20111207_1120075494.txt	1	0.9072352	1024
d_adam_smith_20111214_1120078271.txt	1	0.5985537	1024
d_adam_smith_20111214_1120078297.txt	1	0.6560725	1024
d_adam_smith_20111214_1120078343.txt	1	0.6990635	1024
d_adam_smith_20111214_1120078361.txt	1	0.6286788	1024
d_adam_smith_20120516_1120105800.txt	1	0.4759588	1024
d_adam_smith_20120517_1120106582.txt	1	0.25982127	1024
d_adam_smith_20120517_1120106583.txt	1	0.5173161	1024
d_adam_smith_20120517_1120106623.txt	1	0.7328888	1024
d_adam_smith_20120517_1120106631.txt	1	0.8044852	1024
d_adam_smith_20120517_1120106639.txt	1	0.68703985	1024
d_adam_smith_20120517_1120106640.txt	1	0.1329404	1024
d_adam_smith_20120517_1120106643.txt	1	0.6203767	1024
d_adam_smith_20120517_1120106665.txt	1	0.7053357	1024
d_adam_smith_20120517_1120106691.txt	1	0.50556386	1024
d_adam_smith_20120517_1120106729.txt	1	0.38210443	1024
d_adam_smith_20120517_1120106731.txt	1	0.6269069	1024
d_adam_smith_20120517_1120106733.txt	1	0.7052794	1024
d_adam_smith_20120517_1120106736.txt	1	0.33633602	1024
d_adam_smith_20120517_1120106758.txt	1	0.9772899	1024
d_adam_smith_20120517_1120106759.txt	1	0.921969	1024
d_adam_smith_20120517_1120106942.txt	1	0.9160944	1024
d_adam_smith_20120517_1120106988.txt	1	0.91813093	1024
d_adam_smith_20120517_1120106990.txt	1	0.7987626	1024
d_adam_smith_20120517_1120107006.txt	1	0.79099506	1024
d_adam_smith_20120517_1120107019.txt	1	0.84708697	1024
d_adam_smith_20120517_1120107027.txt	1	0.54078805	1024
d_adam_smith_20120517_1120107033.txt	1	0.6923999	1024
d_adam_smith_20120517_1120107037.txt	1	0.30229616	1024
d_adam_smith_20120517_1120107083.txt	1	0.766348	1024
d_adam_smith_20120517_1120107084.txt	1	0.61619693	1024
d_adam_smith_20120517_1120107085.txt	1	0.86586976	1024
d_adam_smith_20120517_1120107086.txt	1	0.8311419	1024
d_adam_smith_20120517_1120107090.txt	1	0.7150733	1024
d_adam_smith_20120517_1120107096.txt	1	0.32366383	1024
d_adam_smith_20120517_1120107109.txt	1	0.22412357	1024
d_adam_smith_20120517_1120107111.txt	1	0.35273278	1024
d_adam_smith_20120517_1120107118.txt	1	0.22306018	1024
d_adam_smith_20120517_1120107121.txt	1	0.35034433	1024
d_adam_smith_20120517_1120107124.txt	1	0.24740976	1024
d_adam_smith_20120517_1120107135.txt	1	0.9624967	1024
d_adam_smith_20120517_1120107142.txt	1	0.15684621	1024
d_adam_smith_20120517_1120107161.txt	1	0.80691105	1024
d_adam_smith_20120517_1120107167.txt	1	0.15684621	1024
d_adam_smith_20120517_1120107168.txt	1	0.5954988	1024
d_adam_smith_20120517_1120107170.txt	1	0.26268163	1024
d_adam_smith_20120518_1120107619.txt	1	0.7480068	1024
d_adam_smith_20120518_1120107620.txt	1	0.32593632	1024
d_adam_smith_20121212_1120139162.txt	1	0.96131855	1024
d_adam_smith_20121212_1120139888.txt	1	0.99439645	1024
d_adam_smith_20121220_1120142609.txt	1	0.5357556	1024
d_adam_smith_20121220_1120142671.txt	1	0.7512736	1024
d_al_green_20110107_1120001302.txt	1	0.86441445	1024
d_al_green_20110112_1120001432.txt	1	0.7504344	1024
d_al_green_20110126_1120004249.txt	1	0.9772325	1024
d_al_green_20110210_1120006580.txt	1	0.93566185	1024
d_al_green_20110217_1120009589.txt	1	0.44014716	1024
d_al_green_20110311_1120015584.txt	1	0.85264087	1024
d_al_green_20110314_1120015767.txt	1	0.92713296	1024
d_al_green_20110407_1120022165.txt	1	0.83745265	1024
d_al_green_20110414_1120024576.txt	1	0.9695496	1024
d_al_green_20110510_1120027476.txt	1	0.65484756	1024
d_al_green_20110616_1120036926.txt	1	0.6377094	1024
d_al_green_20110714_1120043996.txt	1	0.92362773	1024
d_al_green_20110714_1120044037.txt	1	0.29823646	1024
d_al_green_20110714_1120044038.txt	1	0.85474205	1024
d_al_green_20110721_1120046754.txt	1	0.14604162	1024
d_al_green_20110725_1120047723.txt	1	0.5996835	1024
d_al_green_20110923_1120057777.txt	1	0.9167914	1024
d_al_green_20111004_1120058709.txt	1	0.7195811	1024
d_al_green_20111025_1120064859.txt	1	0.8032419	1024
d_al_green_20111025_1120064883.txt	1	0.6794919	1024
d_al_green_20111025_1120064891.txt	1	0.9866816	1024
d_al_green_20111025_1120064895.txt	1	0.7275523	1024
d_al_green_20111025_1120064901.txt	1	0.87905025	1024
d_al_green_20111101_1120065806.txt	1	0.9381142	1024
d_al_green_20111103_1120066837.txt	1	0.84949607	1024
d_al_green_20111116_1120069296.txt	1	0.9550051	1024
d_al_green_20111208_1120076330.txt	1	0.9982577	1024
d_al_green_20111208_1120076340.txt	1	0.97264445	1024
d_al_green_20111208_1120076342.txt	1	0.85827434	1024
d_al_green_20111208_1120076344.txt	1	0.899671	1024
d_al_green_20120124_1120081757.txt	1	0.96505	1024
d_al_green_20120201_1120083401.txt	1	0.44014716	1024
d_al_green_20120201_1120083402.txt	1	0.94918096	1024
d_al_green_20120201_1120083408.txt	1	0.58357394	1024
d_al_green_20120201_1120083412.txt	1	0.7808775	1024
d_al_green_20120201_1120083416.txt	1	0.5862514	1024
d_al_green_20120217_1120088250.txt	1	0.86484927	1024
d_al_green_20120306_1120090311.txt	1	0.87862235	1024
d_al_green_20120319_1120092711.txt	1	0.91253066	1024
d_al_green_20120320_1120092894.txt	1	0.74015075	1024
d_al_green_20120320_1120092918.txt	1	0.8046486	1024
d_al_green_20120322_1120094003.txt	1	0.89932734	1024
d_al_green_20120326_1120094531.txt	1	0.29554778	1024
d_al_green_20120326_1120094533.txt	1	0.92593706	1024
d_al_green_20120326_1120094540.txt	1	0.8387185	1024
d_al_green_20120326_1120094553.txt	1	0.7001341	1024
d_al_green_20120327_1120094794.txt	1	0.97781086	1024
d_al_green_20120327_1120095035.txt	1	0.8227632	1024
d_al_green_20120327_1120095036.txt	1	0.9432315	1024
d_al_green_20120418_1120098074.txt	1	0.7904101	1024
d_al_green_20120508_1120102533.txt	1	0.84231734	1024
d_al_green_20120509_1120103226.txt	1	0.77193815	1024
d_al_green_20120711_1120120786.txt	1	0.6404405	1024
d_al_green_20120913_1120129877.txt	1	0.7928004	1024
d_al_green_20121218_1120141029.txt	1	0.6628561	1024
d_al_green_20121219_1120141749.txt	1	0.9698751	1024
d_albio_sires_20110112_1120001812.txt	1	0.91075575	1024
d_albio_sires_20110120_1120002946.txt	1	0.97886676	1024
