filename	trueclass	predclass_prob	numfeatures
d_adam_schiff_20110112_1120001451.txt	1	0.9623381	1024
d_adam_schiff_20110215_1120007978.txt	1	0.99413496	1024
d_adam_schiff_20110215_1120007995.txt	1	0.6167528	1024
d_adam_schiff_20110215_1120007996.txt	1	0.9999263	1024
d_adam_schiff_20110215_1120008006.txt	1	0.6167528	1024
d_adam_schiff_20110215_1120008007.txt	1	0.96203053	1024
d_adam_schiff_20110215_1120008021.txt	1	0.7100509	1024
d_adam_schiff_20110215_1120008022.txt	1	0.9983796	1024
d_adam_schiff_20110215_1120008027.txt	1	0.7357648	1024
d_adam_schiff_20110331_1120019789.txt	1	0.9979297	1024
d_adam_schiff_20110331_1120019793.txt	1	0.79701805	1024
d_adam_schiff_20110331_1120019807.txt	1	0.9238736	1024
d_adam_schiff_20110331_1120019811.txt	1	0.9994387	1024
d_adam_schiff_20110513_1120028862.txt	1	0.9592325	1024
d_adam_schiff_20110623_1120038647.txt	1	0.9517775	1024
d_adam_schiff_20110623_1120038649.txt	1	0.93875587	1024
d_adam_schiff_20110711_1120042693.txt	1	0.42364413	1024
d_adam_schiff_20110713_1120043704.txt	1	0.6167528	1024
d_adam_schiff_20110713_1120043739.txt	1	0.5358032	1024
d_adam_schiff_20110713_1120043748.txt	1	0.681918	1024
d_adam_schiff_20110728_1120050089.txt	1	0.99803334	1024
d_adam_schiff_20111202_1120074650.txt	1	0.97725874	1024
d_adam_schiff_20111213_1120077724.txt	1	0.93252873	1024
d_adam_schiff_20111213_1120077896.txt	1	0.98370934	1024
d_adam_schiff_20111216_1120079375.txt	1	0.978429	1024
d_adam_schiff_20111216_1120079378.txt	1	0.9466152	1024
d_adam_schiff_20120327_1120095107.txt	1	0.9789829	1024
d_adam_schiff_20120426_1120100875.txt	1	0.9288305	1024
d_adam_schiff_20120426_1120100945.txt	1	0.70695287	1024
d_adam_schiff_20120509_1120103290.txt	1	0.6167528	1024
d_adam_schiff_20120509_1120103291.txt	1	0.9890988	1024
d_adam_schiff_20120509_1120103305.txt	1	0.68323135	1024
d_adam_schiff_20120509_1120103311.txt	1	0.8519732	1024
d_adam_schiff_20120509_1120103317.txt	1	0.26695296	1024
d_adam_schiff_20120509_1120103520.txt	1	0.6167528	1024
d_adam_schiff_20120509_1120103521.txt	1	0.90392244	1024
d_adam_schiff_20120628_1120118686.txt	1	0.9877422	1024
d_adam_schiff_20120628_1120118792.txt	1	0.7986356	1024
d_adam_schiff_20120711_1120120822.txt	1	0.19644764	1024
d_adam_schiff_20120912_1120129470.txt	1	0.7648936	1024
d_adam_schiff_20121218_1120141099.txt	1	0.996783	1024
d_adam_schiff_20130103_1120145694.txt	1	0.98898005	1024
d_adam_smith_20110317_1120017382.txt	1	0.79613686	1024
d_adam_smith_20110523_1120030073.txt	1	0.91032505	1024
d_adam_smith_20110525_1120030834.txt	1	0.41476017	1024
d_adam_smith_20110525_1120030858.txt	1	0.3231856	1024
d_adam_smith_20110525_1120030859.txt	1	0.91809374	1024
d_adam_smith_20110525_1120030863.txt	1	0.90643126	1024
d_adam_smith_20110525_1120030868.txt	1	0.9940439	1024
d_adam_smith_20110525_1120030871.txt	1	0.2005455	1024
d_adam_smith_20110525_1120030894.txt	1	0.3309722	1024
d_adam_smith_20110525_1120030938.txt	1	0.9780556	1024
d_adam_smith_20110525_1120030974.txt	1	0.95484096	1024
d_adam_smith_20110525_1120030998.txt	1	0.2623924	1024
d_adam_smith_20110525_1120031036.txt	1	0.45791635	1024
d_adam_smith_20110525_1120031037.txt	1	0.6513831	1024
d_adam_smith_20110525_1120031059.txt	1	0.9772424	1024
d_adam_smith_20110526_1120031443.txt	1	0.6460064	1024
d_adam_smith_20110526_1120031470.txt	1	0.2965724	1024
d_adam_smith_20110526_1120031498.txt	1	0.52291095	1024
d_adam_smith_20110526_1120031514.txt	1	0.12973732	1024
d_adam_smith_20110526_1120031538.txt	1	0.970111	1024
d_adam_smith_20110526_1120031635.txt	1	0.2762033	1024
d_adam_smith_20110624_1120039346.txt	1	0.21364346	1024
d_adam_smith_20110624_1120039369.txt	1	0.9944273	1024
d_adam_smith_20110624_1120039437.txt	1	0.71381545	1024
d_adam_smith_20111006_1120059885.txt	1	0.97778535	1024
d_adam_smith_20111012_1120061404.txt	1	0.97068596	1024
d_adam_smith_20111117_1120069939.txt	1	0.6758863	1024
d_adam_smith_20111130_1120072503.txt	1	0.997029	1024
d_adam_smith_20111207_1120075494.txt	1	0.41372982	1024
d_adam_smith_20111214_1120078271.txt	1	0.46201766	1024
d_adam_smith_20111214_1120078297.txt	1	0.55742633	1024
d_adam_smith_20111214_1120078343.txt	1	0.41667145	1024
d_adam_smith_20111214_1120078361.txt	1	0.9860282	1024
d_adam_smith_20120516_1120105800.txt	1	0.96790063	1024
d_adam_smith_20120517_1120106582.txt	1	0.3958835	1024
d_adam_smith_20120517_1120106583.txt	1	0.8706096	1024
d_adam_smith_20120517_1120106623.txt	1	0.72484565	1024
d_adam_smith_20120517_1120106631.txt	1	0.99228597	1024
d_adam_smith_20120517_1120106639.txt	1	0.45635936	1024
d_adam_smith_20120517_1120106640.txt	1	0.20699406	1024
d_adam_smith_20120517_1120106643.txt	1	0.6140516	1024
d_adam_smith_20120517_1120106665.txt	1	0.63449866	1024
d_adam_smith_20120517_1120106691.txt	1	0.8390689	1024
d_adam_smith_20120517_1120106729.txt	1	0.70969343	1024
d_adam_smith_20120517_1120106731.txt	1	0.5159516	1024
d_adam_smith_20120517_1120106733.txt	1	0.324711	1024
d_adam_smith_20120517_1120106736.txt	1	0.09625175	1024
d_adam_smith_20120517_1120106758.txt	1	0.9976483	1024
d_adam_smith_20120517_1120106759.txt	1	0.97927094	1024
d_adam_smith_20120517_1120106942.txt	1	0.83724385	1024
d_adam_smith_20120517_1120106988.txt	1	0.9717386	1024
d_adam_smith_20120517_1120106990.txt	1	0.87321883	1024
d_adam_smith_20120517_1120107006.txt	1	0.765066	1024
d_adam_smith_20120517_1120107019.txt	1	0.9625468	1024
d_adam_smith_20120517_1120107027.txt	1	0.9446115	1024
d_adam_smith_20120517_1120107033.txt	1	0.994918	1024
d_adam_smith_20120517_1120107037.txt	1	0.873866	1024
d_adam_smith_20120517_1120107083.txt	1	0.6997057	1024
d_adam_smith_20120517_1120107084.txt	1	0.53772765	1024
d_adam_smith_20120517_1120107085.txt	1	0.9654409	1024
d_adam_smith_20120517_1120107086.txt	1	0.8025362	1024
d_adam_smith_20120517_1120107090.txt	1	0.33802238	1024
d_adam_smith_20120517_1120107096.txt	1	0.20345435	1024
d_adam_smith_20120517_1120107109.txt	1	0.3231856	1024
d_adam_smith_20120517_1120107111.txt	1	0.5701207	1024
d_adam_smith_20120517_1120107118.txt	1	0.3422517	1024
d_adam_smith_20120517_1120107121.txt	1	0.37404144	1024
d_adam_smith_20120517_1120107124.txt	1	0.37440673	1024
d_adam_smith_20120517_1120107135.txt	1	0.97114646	1024
d_adam_smith_20120517_1120107142.txt	1	0.4284455	1024
d_adam_smith_20120517_1120107161.txt	1	0.1607201	1024
d_adam_smith_20120517_1120107167.txt	1	0.4284455	1024
d_adam_smith_20120517_1120107168.txt	1	0.6650008	1024
d_adam_smith_20120517_1120107170.txt	1	0.35758817	1024
d_adam_smith_20120518_1120107619.txt	1	0.37997344	1024
d_adam_smith_20120518_1120107620.txt	1	0.35326138	1024
d_adam_smith_20121212_1120139162.txt	1	0.87469876	1024
d_adam_smith_20121212_1120139888.txt	1	0.79283905	1024
d_adam_smith_20121220_1120142609.txt	1	0.98850995	1024
d_adam_smith_20121220_1120142671.txt	1	0.38285014	1024
d_al_green_20110107_1120001302.txt	1	0.99996936	1024
d_al_green_20110112_1120001432.txt	1	0.66799015	1024
d_al_green_20110126_1120004249.txt	1	0.9993113	1024
d_al_green_20110210_1120006580.txt	1	0.9789373	1024
d_al_green_20110217_1120009589.txt	1	0.56015563	1024
d_al_green_20110311_1120015584.txt	1	0.8084982	1024
d_al_green_20110314_1120015767.txt	1	0.71562284	1024
d_al_green_20110407_1120022165.txt	1	0.47956333	1024
d_al_green_20110414_1120024576.txt	1	0.99999905	1024
d_al_green_20110510_1120027476.txt	1	0.9860495	1024
d_al_green_20110616_1120036926.txt	1	0.30207717	1024
d_al_green_20110714_1120043996.txt	1	0.696969	1024
d_al_green_20110714_1120044037.txt	1	0.4680839	1024
d_al_green_20110714_1120044038.txt	1	0.99409276	1024
d_al_green_20110721_1120046754.txt	1	0.33742088	1024
d_al_green_20110725_1120047723.txt	1	0.24467792	1024
d_al_green_20110923_1120057777.txt	1	0.48771963	1024
d_al_green_20111004_1120058709.txt	1	0.56223077	1024
d_al_green_20111025_1120064859.txt	1	0.9152072	1024
d_al_green_20111025_1120064883.txt	1	0.6128753	1024
d_al_green_20111025_1120064891.txt	1	0.93805444	1024
d_al_green_20111025_1120064895.txt	1	0.48655334	1024
d_al_green_20111025_1120064901.txt	1	0.8928301	1024
d_al_green_20111101_1120065806.txt	1	0.99949396	1024
d_al_green_20111103_1120066837.txt	1	0.52384746	1024
d_al_green_20111116_1120069296.txt	1	0.9088353	1024
d_al_green_20111208_1120076330.txt	1	0.99881315	1024
d_al_green_20111208_1120076340.txt	1	0.8252166	1024
d_al_green_20111208_1120076342.txt	1	0.73668754	1024
d_al_green_20111208_1120076344.txt	1	0.68365276	1024
d_al_green_20120124_1120081757.txt	1	0.997996	1024
d_al_green_20120201_1120083401.txt	1	0.56015563	1024
d_al_green_20120201_1120083402.txt	1	0.99788886	1024
d_al_green_20120201_1120083408.txt	1	0.29017478	1024
d_al_green_20120201_1120083412.txt	1	0.75674903	1024
d_al_green_20120201_1120083416.txt	1	0.19408698	1024
d_al_green_20120217_1120088250.txt	1	0.8200518	1024
d_al_green_20120306_1120090311.txt	1	0.98762953	1024
d_al_green_20120319_1120092711.txt	1	0.74334645	1024
d_al_green_20120320_1120092894.txt	1	0.9957041	1024
d_al_green_20120320_1120092918.txt	1	0.91713053	1024
d_al_green_20120322_1120094003.txt	1	0.95496005	1024
d_al_green_20120326_1120094531.txt	1	0.22335264	1024
d_al_green_20120326_1120094533.txt	1	0.98342	1024
d_al_green_20120326_1120094540.txt	1	0.49456605	1024
d_al_green_20120326_1120094553.txt	1	0.92465204	1024
d_al_green_20120327_1120094794.txt	1	0.99998343	1024
d_al_green_20120327_1120095035.txt	1	0.6591376	1024
d_al_green_20120327_1120095036.txt	1	0.68628746	1024
d_al_green_20120418_1120098074.txt	1	0.8114473	1024
d_al_green_20120508_1120102533.txt	1	0.4090544	1024
d_al_green_20120509_1120103226.txt	1	0.95231247	1024
d_al_green_20120711_1120120786.txt	1	0.98405933	1024
d_al_green_20120913_1120129877.txt	1	0.8969896	1024
d_al_green_20121218_1120141029.txt	1	0.83261335	1024
