filename	trueclass	predclass_prob	numfeatures
d_adam_smith_19990209_1060003674.txt	1	0.6234297	1024
d_adam_smith_19990210_1060004103.txt	1	0.60893416	1024
d_adam_smith_19990224_1060005914.txt	1	0.00078933255	1024
d_adam_smith_19990303_1060007820.txt	1	0.0013193897	1024
d_adam_smith_19990316_1060011988.txt	1	0.8565057	1024
d_adam_smith_19990324_1060016210.txt	1	0.5843912	1024
d_adam_smith_19990324_1060016212.txt	1	0.13410255	1024
d_adam_smith_19990324_1060016214.txt	1	0.12702538	1024
d_adam_smith_19990324_1060016215.txt	1	0.27319476	1024
d_adam_smith_19990324_1060016219.txt	1	0.18698497	1024
d_adam_smith_19990415_1060021408.txt	1	0.9626204	1024
d_adam_smith_19990415_1060021414.txt	1	0.6236335	1024
d_adam_smith_19990421_1060022633.txt	1	0.18480791	1024
d_adam_smith_19990429_1060025443.txt	1	0.9707428	1024
d_adam_smith_19990505_1060027375.txt	1	0.88359576	1024
d_adam_smith_19990519_1060033868.txt	1	0.5104351	1024
d_adam_smith_19990519_1060033870.txt	1	0.5810819	1024
d_adam_smith_19990519_1060033874.txt	1	0.28862134	1024
d_adam_smith_19990519_1060033876.txt	1	0.770303	1024
d_adam_smith_19990519_1060033878.txt	1	0.295648	1024
d_adam_smith_19990609_1060042689.txt	1	0.84190625	1024
d_adam_smith_19990616_1060046287.txt	1	0.9177348	1024
d_adam_smith_19990623_1060051068.txt	1	0.15746504	1024
d_adam_smith_19990713_1060057644.txt	1	0.8896239	1024
d_adam_smith_19990722_1060064408.txt	1	0.8790129	1024
d_adam_smith_19990805_1060074974.txt	1	0.95537466	1024
d_adam_smith_19990914_1060078807.txt	1	0.89056337	1024
d_adam_smith_19990923_1060083665.txt	1	0.91066855	1024
d_adam_smith_20000301_1060117989.txt	1	0.8842151	1024
d_adam_smith_20000315_1060121814.txt	1	0.89954364	1024
d_adam_smith_20000405_1060128760.txt	1	0.9822468	1024
d_adam_smith_20000504_1060137074.txt	1	0.936208	1024
d_adam_smith_20000517_1060142159.txt	1	0.47996646	1024
d_adam_smith_20000524_1060145833.txt	1	0.9642976	1024
d_adam_smith_20000927_1060189367.txt	1	0.71672255	1024
d_adam_smith_20000928_1060189604.txt	1	0.73340255	1024
d_adam_smith_20001003_1060191527.txt	1	0.95792747	1024
d_alan_mollohan_19990202_1060002159.txt	1	0.7955403	1024
d_alan_mollohan_19990504_1060026476.txt	1	0.91066146	1024
d_alan_mollohan_19990804_1060073913.txt	1	0.4080043	1024
d_alan_mollohan_19990804_1060073960.txt	1	0.5196608	1024
d_alan_mollohan_19990908_1060076400.txt	1	0.99388933	1024
d_alan_mollohan_19990908_1060076437.txt	1	0.9768987	1024
d_alan_mollohan_19990908_1060076441.txt	1	0.50892776	1024
d_alan_mollohan_19990908_1060076498.txt	1	0.9320405	1024
d_alan_mollohan_19990908_1060076583.txt	1	0.9997695	1024
d_alan_mollohan_19990908_1060076642.txt	1	0.994204	1024
d_alan_mollohan_19990909_1060077357.txt	1	0.9171783	1024
d_alan_mollohan_19990909_1060077361.txt	1	0.95217746	1024
d_alan_mollohan_19990909_1060077402.txt	1	0.07209664	1024
d_alan_mollohan_19990909_1060077405.txt	1	0.6547193	1024
d_alan_mollohan_19990909_1060077542.txt	1	0.32954422	1024
d_alan_mollohan_19991004_1060088383.txt	1	0.94526505	1024
d_alan_mollohan_19991014_1060093823.txt	1	0.041325502	1024
d_alan_mollohan_19991014_1060093851.txt	1	0.7908654	1024
d_alan_mollohan_19991014_1060093862.txt	1	0.5702713	1024
d_alan_mollohan_20000615_1060154926.txt	1	0.6031715	1024
d_alan_mollohan_20000619_1060155865.txt	1	0.8699362	1024
d_alan_mollohan_20000619_1060155884.txt	1	0.4390792	1024
d_alan_mollohan_20000619_1060155932.txt	1	0.053023588	1024
d_alan_mollohan_20000620_1060156835.txt	1	0.8759626	1024
d_alan_mollohan_20000620_1060156836.txt	1	0.39374295	1024
d_alan_mollohan_20000620_1060156865.txt	1	0.7948916	1024
d_alan_mollohan_20000620_1060156920.txt	1	0.98192114	1024
d_alan_mollohan_20000620_1060157091.txt	1	0.45734754	1024
d_alan_mollohan_20000620_1060157161.txt	1	0.25433418	1024
d_alan_mollohan_20000621_1060158030.txt	1	0.57680964	1024
