filename	trueclass	predclass_prob	numfeatures
d_adam_schiff_20110112_1120001451.txt	1	0.9952684	1024
d_adam_schiff_20110215_1120007978.txt	1	0.99999917	1024
d_adam_schiff_20110215_1120007995.txt	1	0.80754113	1024
d_adam_schiff_20110215_1120007996.txt	1	1.0	1024
d_adam_schiff_20110215_1120008006.txt	1	0.80754113	1024
d_adam_schiff_20110215_1120008007.txt	1	0.9999101	1024
d_adam_schiff_20110215_1120008021.txt	1	0.91387886	1024
d_adam_schiff_20110215_1120008022.txt	1	0.9999976	1024
d_adam_schiff_20110215_1120008027.txt	1	0.89997613	1024
d_adam_schiff_20110331_1120019789.txt	1	0.9999999	1024
d_adam_schiff_20110331_1120019793.txt	1	0.99744713	1024
d_adam_schiff_20110331_1120019807.txt	1	0.9757869	1024
d_adam_schiff_20110331_1120019811.txt	1	1.0	1024
d_adam_schiff_20110513_1120028862.txt	1	0.9998147	1024
d_adam_schiff_20110623_1120038647.txt	1	0.99910057	1024
d_adam_schiff_20110623_1120038649.txt	1	0.9987204	1024
d_adam_schiff_20110711_1120042693.txt	1	0.39884064	1024
d_adam_schiff_20110713_1120043704.txt	1	0.80754113	1024
d_adam_schiff_20110713_1120043739.txt	1	0.8956793	1024
d_adam_schiff_20110713_1120043748.txt	1	0.740075	1024
d_adam_schiff_20110728_1120050089.txt	1	0.9997707	1024
d_adam_schiff_20111202_1120074650.txt	1	0.9941618	1024
d_adam_schiff_20111213_1120077724.txt	1	0.98203284	1024
d_adam_schiff_20111213_1120077896.txt	1	0.9999924	1024
d_adam_schiff_20111216_1120079375.txt	1	0.99942744	1024
d_adam_schiff_20111216_1120079378.txt	1	0.99690396	1024
d_adam_schiff_20120327_1120095107.txt	1	0.9999628	1024
d_adam_schiff_20120426_1120100875.txt	1	0.99447954	1024
d_adam_schiff_20120426_1120100945.txt	1	0.94845325	1024
d_adam_schiff_20120509_1120103290.txt	1	0.80754113	1024
d_adam_schiff_20120509_1120103291.txt	1	0.99999213	1024
d_adam_schiff_20120509_1120103305.txt	1	0.8070649	1024
d_adam_schiff_20120509_1120103311.txt	1	0.9881455	1024
d_adam_schiff_20120509_1120103317.txt	1	0.26326466	1024
d_adam_schiff_20120509_1120103520.txt	1	0.80754113	1024
d_adam_schiff_20120509_1120103521.txt	1	0.99398005	1024
d_adam_schiff_20120628_1120118686.txt	1	0.99847263	1024
d_adam_schiff_20120628_1120118792.txt	1	0.8918118	1024
d_adam_schiff_20120711_1120120822.txt	1	0.98132473	1024
d_adam_schiff_20120912_1120129470.txt	1	0.9742882	1024
d_adam_schiff_20121218_1120141099.txt	1	0.9999994	1024
d_adam_schiff_20130103_1120145694.txt	1	0.99999666	1024
d_adam_smith_20110317_1120017382.txt	1	0.9712422	1024
d_adam_smith_20110523_1120030073.txt	1	0.99894375	1024
d_adam_smith_20110525_1120030834.txt	1	0.4712661	1024
d_adam_smith_20110525_1120030858.txt	1	0.2811616	1024
d_adam_smith_20110525_1120030859.txt	1	0.9950041	1024
d_adam_smith_20110525_1120030863.txt	1	0.9904541	1024
d_adam_smith_20110525_1120030868.txt	1	0.9999225	1024
d_adam_smith_20110525_1120030871.txt	1	0.8044627	1024
d_adam_smith_20110525_1120030894.txt	1	0.35468882	1024
d_adam_smith_20110525_1120030938.txt	1	0.99929357	1024
d_adam_smith_20110525_1120030974.txt	1	0.9985499	1024
d_adam_smith_20110525_1120030998.txt	1	0.4918161	1024
d_adam_smith_20110525_1120031036.txt	1	0.28180555	1024
d_adam_smith_20110525_1120031037.txt	1	0.8440967	1024
d_adam_smith_20110525_1120031059.txt	1	0.9975388	1024
d_adam_smith_20110526_1120031443.txt	1	0.8652997	1024
d_adam_smith_20110526_1120031470.txt	1	0.42301255	1024
d_adam_smith_20110526_1120031498.txt	1	0.5911632	1024
d_adam_smith_20110526_1120031514.txt	1	0.036930427	1024
d_adam_smith_20110526_1120031538.txt	1	0.9982722	1024
d_adam_smith_20110526_1120031635.txt	1	0.90159833	1024
d_adam_smith_20110624_1120039346.txt	1	0.2521984	1024
d_adam_smith_20110624_1120039369.txt	1	0.9997961	1024
d_adam_smith_20110624_1120039437.txt	1	0.91094667	1024
d_adam_smith_20111006_1120059885.txt	1	0.9991775	1024
d_adam_smith_20111012_1120061404.txt	1	0.99120694	1024
d_adam_smith_20111117_1120069939.txt	1	0.7726131	1024
d_adam_smith_20111130_1120072503.txt	1	0.99890494	1024
d_adam_smith_20111207_1120075494.txt	1	0.786099	1024
d_adam_smith_20111214_1120078271.txt	1	0.5622424	1024
d_adam_smith_20111214_1120078297.txt	1	0.6721603	1024
d_adam_smith_20111214_1120078343.txt	1	0.5848585	1024
d_adam_smith_20111214_1120078361.txt	1	0.9999324	1024
d_adam_smith_20120516_1120105800.txt	1	0.9998808	1024
d_adam_smith_20120517_1120106582.txt	1	0.380481	1024
d_adam_smith_20120517_1120106583.txt	1	0.9859762	1024
d_adam_smith_20120517_1120106623.txt	1	0.96743	1024
d_adam_smith_20120517_1120106631.txt	1	0.9984028	1024
d_adam_smith_20120517_1120106639.txt	1	0.8200853	1024
d_adam_smith_20120517_1120106640.txt	1	0.15787435	1024
d_adam_smith_20120517_1120106643.txt	1	0.66819245	1024
d_adam_smith_20120517_1120106665.txt	1	0.74886054	1024
d_adam_smith_20120517_1120106691.txt	1	0.969144	1024
d_adam_smith_20120517_1120106729.txt	1	0.824669	1024
d_adam_smith_20120517_1120106731.txt	1	0.6717973	1024
d_adam_smith_20120517_1120106733.txt	1	0.3999583	1024
d_adam_smith_20120517_1120106736.txt	1	0.03583059	1024
d_adam_smith_20120517_1120106758.txt	1	0.9999782	1024
d_adam_smith_20120517_1120106759.txt	1	0.9954028	1024
d_adam_smith_20120517_1120106942.txt	1	0.9909643	1024
d_adam_smith_20120517_1120106988.txt	1	0.99809736	1024
d_adam_smith_20120517_1120106990.txt	1	0.9470361	1024
d_adam_smith_20120517_1120107006.txt	1	0.85429597	1024
d_adam_smith_20120517_1120107019.txt	1	0.9982064	1024
d_adam_smith_20120517_1120107027.txt	1	0.9952991	1024
d_adam_smith_20120517_1120107033.txt	1	0.99998283	1024
d_adam_smith_20120517_1120107037.txt	1	0.99522036	1024
d_adam_smith_20120517_1120107083.txt	1	0.82867634	1024
d_adam_smith_20120517_1120107084.txt	1	0.3500896	1024
d_adam_smith_20120517_1120107085.txt	1	0.9962606	1024
d_adam_smith_20120517_1120107086.txt	1	0.9103931	1024
d_adam_smith_20120517_1120107090.txt	1	0.46120816	1024
d_adam_smith_20120517_1120107096.txt	1	0.3251331	1024
d_adam_smith_20120517_1120107109.txt	1	0.2811616	1024
d_adam_smith_20120517_1120107111.txt	1	0.47542349	1024
d_adam_smith_20120517_1120107118.txt	1	0.3009574	1024
d_adam_smith_20120517_1120107121.txt	1	0.31722033	1024
d_adam_smith_20120517_1120107124.txt	1	0.3043662	1024
d_adam_smith_20120517_1120107135.txt	1	0.99900526	1024
d_adam_smith_20120517_1120107142.txt	1	0.2747172	1024
d_adam_smith_20120517_1120107161.txt	1	0.39382368	1024
d_adam_smith_20120517_1120107167.txt	1	0.2747172	1024
d_adam_smith_20120517_1120107168.txt	1	0.9320943	1024
d_adam_smith_20120517_1120107170.txt	1	0.29509154	1024
d_adam_smith_20120518_1120107619.txt	1	0.4386071	1024
d_adam_smith_20120518_1120107620.txt	1	0.4450037	1024
d_adam_smith_20121212_1120139162.txt	1	0.995577	1024
d_adam_smith_20121212_1120139888.txt	1	0.98015493	1024
d_adam_smith_20121220_1120142609.txt	1	0.99997544	1024
d_adam_smith_20121220_1120142671.txt	1	0.963051	1024
d_al_green_20110107_1120001302.txt	1	0.9999999	1024
d_al_green_20110112_1120001432.txt	1	0.98330724	1024
d_al_green_20110126_1120004249.txt	1	0.9999994	1024
d_al_green_20110210_1120006580.txt	1	0.9974898	1024
d_al_green_20110217_1120009589.txt	1	0.5351726	1024
d_al_green_20110311_1120015584.txt	1	0.946377	1024
d_al_green_20110314_1120015767.txt	1	0.9604198	1024
d_al_green_20110407_1120022165.txt	1	0.9313567	1024
d_al_green_20110414_1120024576.txt	1	1.0	1024
d_al_green_20110510_1120027476.txt	1	0.99937516	1024
d_al_green_20110616_1120036926.txt	1	0.8353161	1024
d_al_green_20110714_1120043996.txt	1	0.99579704	1024
d_al_green_20110714_1120044037.txt	1	0.48045462	1024
d_al_green_20110714_1120044038.txt	1	0.99977356	1024
d_al_green_20110721_1120046754.txt	1	0.16301633	1024
d_al_green_20110725_1120047723.txt	1	0.8319369	1024
d_al_green_20110923_1120057777.txt	1	0.93556553	1024
d_al_green_20111004_1120058709.txt	1	0.873528	1024
d_al_green_20111025_1120064859.txt	1	0.9843466	1024
d_al_green_20111025_1120064883.txt	1	0.9962197	1024
d_al_green_20111025_1120064891.txt	1	0.99660873	1024
d_al_green_20111025_1120064895.txt	1	0.73207736	1024
d_al_green_20111025_1120064901.txt	1	0.98338044	1024
d_al_green_20111101_1120065806.txt	1	0.99999785	1024
d_al_green_20111103_1120066837.txt	1	0.80746675	1024
d_al_green_20111116_1120069296.txt	1	0.99995327	1024
d_al_green_20111208_1120076330.txt	1	0.99999833	1024
d_al_green_20111208_1120076340.txt	1	0.9668874	1024
